,AUROC,AUROC_CI_lo,AUROC_CI_hi,AUPRC,Brier,delta_auc_mean,delta_auc_ci_lo,delta_auc_ci_hi,bootstrap_frac_ml_not_better
"Classical-score baseline (LR, 9 feats)",0.7892554505558452,0.7800278852108997,0.7990488298975339,0.13507791219878434,0.03695698956215309,,,,
"Logistic Regression (all 21 feats, balanced)",0.8260037071122579,0.8177355790096006,0.8344616775718345,0.18060565379299257,0.17222507299329812,,,,
Random Forest (all 21 feats),0.8242344997257119,0.8157626320059398,0.832584249938338,0.1781342343071117,0.14668270566480096,,,,
XGBoost (all 21 feats),0.823416766118326,0.8147407347274517,0.8318932935054265,0.18349505711723021,0.1624162793159485,,,,
"XGBoost, calibrated (isotonic)",0.8275877615225272,0.81908843230202,0.8361463815027186,0.1837737409701948,0.03573744083658696,,,,
_comparison,,,,,,0.034179715568722686,0.02829725007351428,0.04001361625081844,0.0
